metric_id,metric_description,metric_unit
1,alcohol_chronic_liver_disease_mortality_no,absolutenumber
2,alcohol_per_capita_consumption_among_persons_aged_ge_14_years_per_capita_consumption,absolutenumber
3,cancer_of_the_colon_and_rectum_colorectal_incidence_avg_annual_no,mean
4,cancer_of_the_colon_and_rectum_colorectal_mortality_avg_annual_no,mean
5,cancer_of_the_female_breast_mortality_avg_annual_no,mean
6,cancer_of_the_female_cervix_mortality_avg_annual_no,mean
7,cancer_of_the_lung_and_bronchus_incidence_avg_annual_no,mean
8,cancer_of_the_lung_and_bronchus_mortality_avg_annual_no,mean
9,cancer_of_the_oral_cavity_and_pharynx_mortality_avg_annual_no,mean
10,cancer_of_the_prostate_mortality_avg_annual_no,mean
11,cancer_invasive_all_sites_combined_incidence_avg_annual_no,mean
12,cancer_invasive_all_sites_combined_mortality_avg_annual_no,mean
13,cancer_invasive_of_the_cervix_incidence_avg_annual_no,mean
14,cancer_invasive_of_the_female_breast_incidence_avg_annual_no,mean
15,cancer_invasive_of_the_oral_cavity_or_pharynx_incidence_avg_annual_no,mean
16,cancer_invasive_of_the_prostate_incidence_avg_annual_no,mean
17,cancer_invasive_melanoma_incidence_avg_annual_no,mean
18,cancer_melanoma_mortality_avg_annual_no,mean
19,diabetes_mortality_due_to_diabetes_reported_as_any_listed_cause_of_death_no,mean
20,tobacco_sale_of_cigarette_packs_no,absolutenumber
21,averagetemperature,mean
22,averagetemperatureuncertainty,mean
23,value,millionmetrictons
24,monthly_mean_nitrogen_dioxide_level,partsperbillion
25,monthly_maximum_value_of_nitrogen_dioxide,partsperbillion
26,monthly_second_maximum_value_of_nitrogen_dioxide,partsperbillion
27,monthly_mean_nitrogen_dioxide_air_quality_index,partsperbillion
28,monthly_mean_ozone_level,partspermillion
29,monthly_maximum_value_of_ozone_dioxide,partspermillion
30,monthly_second_maximum_ozone_dioxide,partspermillion
31,monthly_mean_ozone_air_quality_index,partspermillion
32,monthly_mean_sulphur_dioxide_level,partsperbillion
33,monthly_maximum_value_of_sulphur_dioxide,partsperbillion
34,monthly_second_maximum_value_of_sulphur_dioxide,partsperbillion
35,monthly_mean_sulphur_dioxide_air_quality_index,partsperbillion
36,monthly_mean_carbon_monoxide_level,partspermillion
37,monthly_maximum_value_of_carbon_monoxide,partspermillion
38,monthly_second_maximum_value_of_carbon_monoxide,partspermillion
39,monthly_mean_carbon_monoxide_air_quality_index,partspermillion
40,population_estimate,absolutenumber
41,births,absolutenumber
42,deaths,absolutenumber
