time_id,year,month,quarter,season
1,1991,1,q1,winter
2,1991,2,q1,winter
3,1991,3,q1,spring
4,1991,4,q2,spring
5,1991,5,q2,spring
6,1991,6,q2,summer
7,1991,7,q3,summer
8,1991,8,q3,summer
9,1991,9,q3,fall
10,1991,10,q4,fall
11,1991,11,q4,fall
12,1991,12,q4,winter
13,1992,1,q1,winter
14,1992,2,q1,winter
15,1992,3,q1,spring
16,1992,4,q2,spring
17,1992,5,q2,spring
18,1992,6,q2,summer
19,1992,7,q3,summer
20,1992,8,q3,summer
21,1992,9,q3,fall
22,1992,10,q4,fall
23,1992,11,q4,fall
24,1992,12,q4,winter
25,1993,1,q1,winter
26,1993,2,q1,winter
27,1993,3,q1,spring
28,1993,4,q2,spring
29,1993,5,q2,spring
30,1993,6,q2,summer
31,1993,7,q3,summer
32,1993,8,q3,summer
33,1993,9,q3,fall
34,1993,10,q4,fall
35,1993,11,q4,fall
36,1993,12,q4,winter
37,1994,1,q1,winter
38,1994,2,q1,winter
39,1994,3,q1,spring
40,1994,4,q2,spring
41,1994,5,q2,spring
42,1994,6,q2,summer
43,1994,7,q3,summer
44,1994,8,q3,summer
45,1994,9,q3,fall
46,1994,10,q4,fall
47,1994,11,q4,fall
48,1994,12,q4,winter
49,1995,1,q1,winter
50,1995,2,q1,winter
51,1995,3,q1,spring
52,1995,4,q2,spring
53,1995,5,q2,spring
54,1995,6,q2,summer
55,1995,7,q3,summer
56,1995,8,q3,summer
57,1995,9,q3,fall
58,1995,10,q4,fall
59,1995,11,q4,fall
60,1995,12,q4,winter
61,1996,1,q1,winter
62,1996,2,q1,winter
63,1996,3,q1,spring
64,1996,4,q2,spring
65,1996,5,q2,spring
66,1996,6,q2,summer
67,1996,7,q3,summer
68,1996,8,q3,summer
69,1996,9,q3,fall
70,1996,10,q4,fall
71,1996,11,q4,fall
72,1996,12,q4,winter
73,1997,1,q1,winter
74,1997,2,q1,winter
75,1997,3,q1,spring
76,1997,4,q2,spring
77,1997,5,q2,spring
78,1997,6,q2,summer
79,1997,7,q3,summer
80,1997,8,q3,summer
81,1997,9,q3,fall
82,1997,10,q4,fall
83,1997,11,q4,fall
84,1997,12,q4,winter
85,1998,1,q1,winter
86,1998,2,q1,winter
87,1998,3,q1,spring
88,1998,4,q2,spring
89,1998,5,q2,spring
90,1998,6,q2,summer
91,1998,7,q3,summer
92,1998,8,q3,summer
93,1998,9,q3,fall
94,1998,10,q4,fall
95,1998,11,q4,fall
96,1998,12,q4,winter
97,1999,1,q1,winter
98,1999,2,q1,winter
99,1999,3,q1,spring
100,1999,4,q2,spring
101,1999,5,q2,spring
102,1999,6,q2,summer
103,1999,7,q3,summer
104,1999,8,q3,summer
105,1999,9,q3,fall
106,1999,10,q4,fall
107,1999,11,q4,fall
108,1999,12,q4,winter
109,2000,1,q1,winter
110,2000,2,q1,winter
111,2000,3,q1,spring
112,2000,4,q2,spring
113,2000,5,q2,spring
114,2000,6,q2,summer
115,2000,7,q3,summer
116,2000,8,q3,summer
117,2000,9,q3,fall
118,2000,10,q4,fall
119,2000,11,q4,fall
120,2000,12,q4,winter
121,2001,1,q1,winter
122,2001,2,q1,winter
123,2001,3,q1,spring
124,2001,4,q2,spring
125,2001,5,q2,spring
126,2001,6,q2,summer
127,2001,7,q3,summer
128,2001,8,q3,summer
129,2001,9,q3,fall
130,2001,10,q4,fall
131,2001,11,q4,fall
132,2001,12,q4,winter
133,2002,1,q1,winter
134,2002,2,q1,winter
135,2002,3,q1,spring
136,2002,4,q2,spring
137,2002,5,q2,spring
138,2002,6,q2,summer
139,2002,7,q3,summer
140,2002,8,q3,summer
141,2002,9,q3,fall
142,2002,10,q4,fall
143,2002,11,q4,fall
144,2002,12,q4,winter
145,2003,1,q1,winter
146,2003,2,q1,winter
147,2003,3,q1,spring
148,2003,4,q2,spring
149,2003,5,q2,spring
150,2003,6,q2,summer
151,2003,7,q3,summer
152,2003,8,q3,summer
153,2003,9,q3,fall
154,2003,10,q4,fall
155,2003,11,q4,fall
156,2003,12,q4,winter
157,2004,1,q1,winter
158,2004,2,q1,winter
159,2004,3,q1,spring
160,2004,4,q2,spring
161,2004,5,q2,spring
162,2004,6,q2,summer
163,2004,7,q3,summer
164,2004,8,q3,summer
165,2004,9,q3,fall
166,2004,10,q4,fall
167,2004,11,q4,fall
168,2004,12,q4,winter
169,2005,1,q1,winter
170,2005,2,q1,winter
171,2005,3,q1,spring
172,2005,4,q2,spring
173,2005,5,q2,spring
174,2005,6,q2,summer
175,2005,7,q3,summer
176,2005,8,q3,summer
177,2005,9,q3,fall
178,2005,10,q4,fall
179,2005,11,q4,fall
180,2005,12,q4,winter
181,2006,1,q1,winter
182,2006,2,q1,winter
183,2006,3,q1,spring
184,2006,4,q2,spring
185,2006,5,q2,spring
186,2006,6,q2,summer
187,2006,7,q3,summer
188,2006,8,q3,summer
189,2006,9,q3,fall
190,2006,10,q4,fall
191,2006,11,q4,fall
192,2006,12,q4,winter
193,2007,1,q1,winter
194,2007,2,q1,winter
195,2007,3,q1,spring
196,2007,4,q2,spring
197,2007,5,q2,spring
198,2007,6,q2,summer
199,2007,7,q3,summer
200,2007,8,q3,summer
201,2007,9,q3,fall
202,2007,10,q4,fall
203,2007,11,q4,fall
204,2007,12,q4,winter
205,2008,1,q1,winter
206,2008,2,q1,winter
207,2008,3,q1,spring
208,2008,4,q2,spring
209,2008,5,q2,spring
210,2008,6,q2,summer
211,2008,7,q3,summer
212,2008,8,q3,summer
213,2008,9,q3,fall
214,2008,10,q4,fall
215,2008,11,q4,fall
216,2008,12,q4,winter
217,2009,1,q1,winter
218,2009,2,q1,winter
219,2009,3,q1,spring
220,2009,4,q2,spring
221,2009,5,q2,spring
222,2009,6,q2,summer
223,2009,7,q3,summer
224,2009,8,q3,summer
225,2009,9,q3,fall
226,2009,10,q4,fall
227,2009,11,q4,fall
228,2009,12,q4,winter
229,2010,1,q1,winter
230,2010,2,q1,winter
231,2010,3,q1,spring
232,2010,4,q2,spring
233,2010,5,q2,spring
234,2010,6,q2,summer
235,2010,7,q3,summer
236,2010,8,q3,summer
237,2010,9,q3,fall
238,2010,10,q4,fall
239,2010,11,q4,fall
240,2010,12,q4,winter
241,2011,1,q1,winter
242,2011,2,q1,winter
243,2011,3,q1,spring
244,2011,4,q2,spring
245,2011,5,q2,spring
246,2011,6,q2,summer
247,2011,7,q3,summer
248,2011,8,q3,summer
249,2011,9,q3,fall
250,2011,10,q4,fall
251,2011,11,q4,fall
252,2011,12,q4,winter
253,2012,1,q1,winter
254,2012,2,q1,winter
255,2012,3,q1,spring
256,2012,4,q2,spring
257,2012,5,q2,spring
258,2012,6,q2,summer
259,2012,7,q3,summer
260,2012,8,q3,summer
261,2012,9,q3,fall
262,2012,10,q4,fall
263,2012,11,q4,fall
264,2012,12,q4,winter
265,2013,1,q1,winter
266,2013,2,q1,winter
267,2013,3,q1,spring
268,2013,4,q2,spring
269,2013,5,q2,spring
270,2013,6,q2,summer
271,2013,7,q3,summer
272,2013,8,q3,summer
273,2013,9,q3,fall
274,2013,10,q4,fall
275,2013,11,q4,fall
276,2013,12,q4,winter
277,2014,1,q1,winter
278,2014,2,q1,winter
279,2014,3,q1,spring
280,2014,4,q2,spring
281,2014,5,q2,spring
282,2014,6,q2,summer
283,2014,7,q3,summer
284,2014,8,q3,summer
285,2014,9,q3,fall
286,2014,10,q4,fall
287,2014,11,q4,fall
288,2014,12,q4,winter
289,2015,1,q1,winter
290,2015,2,q1,winter
291,2015,3,q1,spring
292,2015,4,q2,spring
293,2015,5,q2,spring
294,2015,6,q2,summer
295,2015,7,q3,summer
296,2015,8,q3,summer
297,2015,9,q3,fall
298,2015,10,q4,fall
299,2015,11,q4,fall
300,2015,12,q4,winter
301,2016,1,q1,winter
302,2016,2,q1,winter
303,2016,3,q1,spring
304,2016,4,q2,spring
305,2016,5,q2,spring
306,2016,6,q2,summer
307,2016,7,q3,summer
308,2016,8,q3,summer
309,2016,9,q3,fall
310,2016,10,q4,fall
311,2016,11,q4,fall
312,2016,12,q4,winter
313,2017,1,q1,winter
314,2017,2,q1,winter
315,2017,3,q1,spring
316,2017,4,q2,spring
317,2017,5,q2,spring
318,2017,6,q2,summer
319,2017,7,q3,summer
320,2017,8,q3,summer
321,2017,9,q3,fall
322,2017,10,q4,fall
323,2017,11,q4,fall
324,2017,12,q4,winter
325,2018,1,q1,winter
326,2018,2,q1,winter
327,2018,3,q1,spring
328,2018,4,q2,spring
329,2018,5,q2,spring
330,2018,6,q2,summer
331,2018,7,q3,summer
332,2018,8,q3,summer
333,2018,9,q3,fall
