"	time_id"	"	location_id"	"	carbon_emissions"	"	ce_agencyname"	"	AverageTemperature"	"	temp_agencyname"	"	NO2_Mean"	"	NO2_1st_Max_Value"	"	NO2_1st_Max_Hour"	"	NO2_AQI"	"	O3_Mean"	"	O3_1st_Max_Value"	"	O3_1st_Max_Hour"	"	O3_AQI"	"	SO2_Mean"	"	SO2_1st_Max_Value"	"	SO2_1st_Max_Hour"	"	SO2_AQI"	"	CO_Mean"	"	CO_1st_Max_Value"	"	CO_1st_Max_Hour"	"	CO_AQI"	"	pollution_agencyname"	"	population_Estimate"	"	Births"	"	Deaths"	"	census_agencyname"	"	Alcohol_Chronic_liver_disease_mortality_No"	"	Alcohol_Per_capita_consumption_among_persons_aged_ge_14_years_Per_capita_consumption"	"	Cancer_of_the_colon_and_rectum_colorectal_incidence_Avg_Annual_No"	"	Cancer_of_the_colon_and_rectum_colorectal_mortality_Avg_Annual_No"	"	Cancer_of_the_female_breast_mortality_Avg_Annual_No"	"	Cancer_of_the_female_cervix_mortality_Avg_Annual_No"	"	Cancer_of_the_lung_and_bronchus_incidence_Avg_Annual_No"	"	Cancer_of_the_lung_and_bronchus_mortality_Avg_Annual_No"	"	Cancer_of_the_oral_cavity_and_pharynx_mortality_Avg_Annual_No"	"	Cancer_of_the_prostate_mortality_Avg_Annual_No"	"	Cancer_Invasive_all_sites_combined_incidence_Avg_Annual_No"	"	Cancer_Invasive_all_sites_combined_mortality_Avg_Annual_No"	"	Cancer_Invasive_of_the_cervix_incidence_Avg_Annual_No"	"	Cancer_Invasive_of_the_female_breast_incidence_Avg_Annual_No"	"	Cancer_Invasive_of_the_oral_cavity_or_pharynx_incidence_Avg_Annual_No"	"	Cancer_Invasive_of_the_prostate_incidence_Avg_Annual_No"	"	Cancer_Invasive_melanoma_incidence_Avg_Annual_No"	"	Cancer_Melanoma_mortality_Avg_Annual_No"	"	Diabetes_Mortality_due_to_diabetes_reported_as_any_listed_cause_of_death_No"	"	Tobacco_Sale_of_cigarette_packs_No"	"	disease_agencyid"	"	alcohol_chronic_liver_disease_mortality_no_code"	"	alcohol_per_capita_consumption_among_persons_aged_ge_14_years_per_capita_consumption_code"	"	cancer_of_the_colon_and_rectum_colorectal_incidence_avg_annual_no_code"	"	cancer_of_the_colon_and_rectum_colorectal_mortality_avg_annual_no_code"	"	cancer_of_the_female_breast_mortality_avg_annual_no_code"	"	cancer_of_the_female_cervix_mortality_avg_annual_no_code"	"	cancer_of_the_lung_and_bronchus_incidence_avg_annual_no_code"	"	cancer_of_the_lung_and_bronchus_mortality_avg_annual_no_code"	"	cancer_of_the_oral_cavity_and_pharynx_mortality_avg_annual_no_code"	"	cancer_of_the_prostate_mortality_avg_annual_no_code"	"	cancer_invasive_all_sites_combined_incidence_avg_annual_no_code"	"	cancer_invasive_all_sites_combined_mortality_avg_annual_no_code"	"	cancer_invasive_of_the_cervix_incidence_avg_annual_no_code"	"	cancer_invasive_of_the_female_breast_incidence_avg_annual_no_code"	"	cancer_invasive_of_the_oral_cavity_or_pharynx_incidence_avg_annual_no_code"	"	cancer_invasive_of_the_prostate_incidence_avg_annual_no_code"	"	cancer_invasive_melanoma_incidence_avg_annual_no_code"	"	cancer_melanoma_mortality_avg_annual_no_code"	"	diabetes_mortality_due_to_diabetes_reported_as_any_listed_cause_of_death_no_code"	"	tobacco_sale_of_cigarette_packs_no_code"	"	averagetemperature_code"	"	carbonemissions_code"	"	NO2_Mean_code"	"	NO2_1st_Max_Value_code"	"	NO2_1st_Max_Hour_code"	"	NO2_AQI_code"	"	O3_Mean_code"	"	O3_1st_Max_Value_code"	"	O3_1st_Max_Hour_code"	"	O3_AQI_code"	"	SO2_Mean_code"	"	SO2_1st_Max_Value_code"	"	SO2_1st_Max_Hour_code"	"	SO2_AQI_code"	"	CO_Mean_code"	"	CO_1st_Max_Value_code"	"	CO_1st_Max_Hour_code"	"	CO_AQI_code"	"	population_estimate_code"	"	births_code"	"	deaths_code"
109	3	NULL	NULL	NULL	NULL	25.12	50.67	14.83	45.57	0.02	0.03	10.04	41	2.18	4.53	11.26	0	0.7	1.59	10.49	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	5	NULL	NULL	NULL	NULL	17.35	31.3	11.67	29.64	0.02	0.03	10.04	32.92	1.63	3.56	8.98	0	0.61	1.16	8.34	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	6	NULL	NULL	NULL	NULL	14.89	34.58	8.73	32.73	0.01	0.02	9.96	27.51	2.13	11.8	9.23	0	0.6	1.28	9.34	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	9	NULL	NULL	NULL	NULL	12.49	27.13	11.15	25.62	0.02	0.03	9.85	39.46	1.92	4.44	10.44	0	0.71	1.02	8.14	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	13	NULL	NULL	NULL	NULL	27.71	45.26	12.55	42.98	0	0.02	10.75	21.45	6.19	15.31	10.85	0	0.7	1.13	10.36	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	14	NULL	NULL	NULL	NULL	17.4	35.81	14.1	33.77	0.02	0.03	12.19	37.47	7	14.46	12.85	0	1.02	1.45	11.86	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	32	NULL	NULL	NULL	NULL	23.1	38.37	13.03	36.37	0.01	0.02	10.01	30.55	7.19	13.59	11.03	0	0.44	0.84	9.52	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	33	NULL	NULL	NULL	NULL	17.38	37.4	14.16	35.35	0.02	0.04	11.34	51.64	3.79	9.92	10.13	0	0.64	1.09	10.9	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	36	NULL	NULL	NULL	NULL	5.99	16.49	13.4	15.52	0.03	0.04	10.11	47.58	0.81	3.87	9.17	0	0.04	0.17	6.43	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
109	38	NULL	NULL	NULL	NULL	21.15	36.09	12.67	34.2	0.01	0.02	10.37	28.33	5.84	13.67	10.88	0	0.46	0.87	9.37	0	EPA-Environmental proctection agency	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
