"","STNAME","year","births","deaths","population_esimate"
"1","Alabama",2010,28452,22178,9570322
"2","Alabama",2011,119378,97622,9602216
"3","Alabama",2012,118124,96714,9632178
"4","Alabama",2013,115876,101686,9661066
"5","Alabama",2014,116668,100456,9692822
"6","Alabama",2015,116610,100660,9717958
"7","Alaska",2010,5784,1836,1428042
"8","Alaska",2011,23422,7856,1445440
"9","Alaska",2012,22252,7868,1462456
"10","Alaska",2013,22696,8080,1474884
"11","Alaska",2014,22924,8344,1474092
"12","Alaska",2015,22996,8564,1476864
"13","Arizona",2010,41874,22978,12816416
"14","Arizona",2011,172208,96304,12937464
"15","Arizona",2012,171132,97518,13106524
"16","Arizona",2013,172206,101184,13261598
"17","Arizona",2014,173112,104296,13457566
"18","Arizona",2015,174770,106466,13656130
"19","Arkansas",2010,18878,14046,5844788
"20","Arkansas",2011,76890,58854,5877076
"21","Arkansas",2012,77208,59482,5898998
"22","Arkansas",2013,75958,61890,5915914
"23","Arkansas",2014,75824,58308,5933670
"24","Arkansas",2015,75640,58802,5956408
"25","California",2010,246648,114568,74668158
"26","California",2011,1019534,476932,75400068
"27","California",2012,994862,479280,76112110
"28","California",2013,999234,495708,76828256
"29","California",2014,999166,514618,77584582
"30","California",2015,1007698,521248,78289636
"31","Colorado",2010,33582,15712,10096508
"32","Colorado",2011,131832,64010,10238960
"33","Colorado",2012,129480,65412,10383462
"34","Colorado",2013,129478,67156,10542264
"35","Colorado",2014,132318,69192,10711176
"36","Colorado",2015,134114,70252,10913148
"37","Connecticut",2010,18978,13668,7159434
"38","Connecticut",2011,75272,58642,7179518
"39","Connecticut",2012,73698,58192,7187082
"40","Connecticut",2013,72268,59568,7194336
"41","Connecticut",2014,72364,59484,7189524
"42","Connecticut",2015,72450,59188,7181772
"43","Delaware",2010,5694,3684,1799582
"44","Delaware",2011,22598,15750,1815832
"45","Delaware",2012,22316,15396,1834198
"46","Delaware",2013,21780,16196,1850706
"47","Delaware",2014,21854,16454,1871936
"48","Delaware",2015,22066,16890,1891868
"49","District of Columbia",2010,2243,1180,605126
"50","District of Columbia",2011,9196,4671,620472
"51","District of Columbia",2012,9234,4537,635342
"52","District of Columbia",2013,9447,4809,649540
"53","District of Columbia",2014,9415,5030,659836
"54","District of Columbia",2015,9593,5218,672228
"55","Florida",2010,101744,83580,37699780
"56","Florida",2011,426434,349008,38211066
"57","Florida",2012,428072,347472,38704042
"58","Florida",2013,426008,363232,39188934
"59","Florida",2014,436176,375472,39811138
"60","Florida",2015,441256,381470,40542544
"61","Georgia",2010,64978,34404,19426908
"62","Georgia",2011,265230,142154,19624560
"63","Georgia",2012,263774,140790,19835278
"64","Georgia",2013,257346,149584,19983124
"65","Georgia",2014,259444,152240,20194264
"66","Georgia",2015,261184,154104,20429720
"67","Hawaii",2010,9292,5064,2727960
"68","Hawaii",2011,38306,20168,2756454
"69","Hawaii",2012,37782,20494,2785282
"70","Hawaii",2013,38074,20676,2817530
"71","Hawaii",2014,38042,23202,2840514
"72","Hawaii",2015,38596,23368,2863206
"73","Idaho",2010,11942,5142,3141972
"74","Idaho",2011,45910,23768,3168268
"75","Idaho",2012,44728,23790,3192194
"76","Idaho",2013,45410,24598,3225570
"77","Idaho",2014,44974,24090,3269612
"78","Idaho",2015,45502,23652,3309860
"79","Illinois",2010,83672,48124,25682498
"80","Illinois",2011,324854,203226,25723764
"81","Illinois",2012,320280,202592,25750334
"82","Illinois",2013,315020,208612,25779160
"83","Illinois",2014,313826,207672,25764378
"84","Illinois",2015,312880,208466,25719990
"85","Indiana",2010,41922,27738,12981180
"86","Indiana",2011,166914,115784,13033690
"87","Indiana",2012,166120,117250,13076566
"88","Indiana",2013,166752,121402,13141036
"89","Indiana",2014,166568,118444,13195760
"90","Indiana",2015,167592,117072,13239360
"91","Iowa",2010,19934,13740,6101388
"92","Iowa",2011,75712,56414,6130778
"93","Iowa",2012,76942,56098,6153272
"94","Iowa",2013,77610,58282,6184448
"95","Iowa",2014,78732,55842,6218962
"96","Iowa",2015,78940,55456,6247798
"97","Kansas",2010,19984,11990,5717648
"98","Kansas",2011,80236,50354,5739834
"99","Kansas",2012,79180,49932,5772562
"100","Kansas",2013,79432,51188,5789260
"101","Kansas",2014,77910,48734,5805014
"102","Kansas",2015,77908,48282,5823282
"103","Kentucky",2010,27382,21054,8695874
"104","Kentucky",2011,110626,85066,8735764
"105","Kentucky",2012,110596,85742,8765334
"106","Kentucky",2013,112078,88866,8797000
"107","Kentucky",2014,110806,86126,8825234
"108","Kentucky",2015,111382,86172,8850184
"109","Louisiana",2010,29146,18368,9089902
"110","Louisiana",2011,124632,81510,9150762
"111","Louisiana",2012,124526,81466,9207352
"112","Louisiana",2013,125062,87562,9254982
"113","Louisiana",2014,127166,86564,9297980
"114","Louisiana",2015,127030,86248,9341448
"115","Maine",2010,6886,6198,2655390
"116","Maine",2011,25262,26064,2656514
"117","Maine",2012,25602,25498,2657776
"118","Maine",2013,25728,26804,2657556
"119","Maine",2014,25464,26770,2660512
"120","Maine",2015,25674,26574,2658656
"121","Maryland",2010,36922,21260,11576818
"122","Maryland",2011,147082,87326,11688342
"123","Maryland",2012,145424,86906,11781480
"124","Maryland",2013,144722,91460,11872080
