YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Alcohol_Binge_drinking_frequency_among_adults_aged_ge_18_years_who_binge_drink_Mean,Alcohol_Chronic_liver_disease_mortality_No,Alcohol_Per_capita_consumption_among_persons_aged_ge_14_years_Per_capita_consumption,Cancer_of_the_colon_and_rectum_colorectal_incidence_Avg_Annual_No,Cancer_of_the_colon_and_rectum_colorectal_mortality_Avg_Annual_No,Cancer_of_the_female_breast_mortality_Avg_Annual_No,Cancer_of_the_female_cervix_mortality_Avg_Annual_No,Cancer_of_the_lung_and_bronchus_incidence_Avg_Annual_No,Cancer_of_the_lung_and_bronchus_mortality_Avg_Annual_No,Cancer_of_the_oral_cavity_and_pharynx_mortality_Avg_Annual_No,Cancer_of_the_prostate_mortality_Avg_Annual_No,Cancer_Invasive_all_sites_combined_incidence_Avg_Annual_No,Cancer_Invasive_all_sites_combined_mortality_Avg_Annual_No,Cancer_Invasive_of_the_cervix_incidence_Avg_Annual_No,Cancer_Invasive_of_the_female_breast_incidence_Avg_Annual_No,Cancer_Invasive_of_the_oral_cavity_or_pharynx_incidence_Avg_Annual_No,Cancer_Invasive_of_the_prostate_incidence_Avg_Annual_No,Cancer_Invasive_melanoma_incidence_Avg_Annual_No,Cancer_Melanoma_mortality_Avg_Annual_No,Diabetes_Mortality_due_to_diabetes_reported_as_any_listed_cause_of_death_No,Tobacco_Sale_of_cigarette_packs_No
2008,2012,AK,Alaska,Death_certificate,,,,,80,59,7,,258,12,39,,901,,,,,,12,,
2008,2012,AK,Alaska,Statewide_central_cancer_registries,,,,262,,,,350,,,,2633,,25,401,76,349,81,,,
2008,2012,AL,Alabama,Death_certificate,,,,,914,673,80,,3166,148,520,,10235,,,,,,151,,
2008,2012,AL,Alabama,Statewide_central_cancer_registries,,,,2435,,,,4037,,,,24949,,213,3459,710,3707,1128,,,
2008,2012,AR,Arkansas,Death_certificate,,,,,616,408,55,,2148,103,296,,6510,,,,,,93,,
2008,2012,AR,Arkansas,Statewide_central_cancer_registries,,,,1450,,,,2620,,,,14806,,145,1890,421,2227,534,,,
2008,2012,AZ,Arizona,Death_certificate,,,,,936,737,68,,2717,141,571,,10561,,,,,,203,,
2008,2012,AZ,Arizona,Statewide_central_cancer_registries,,,,2465,,,,3713,,,,27067,,218,4036,617,3111,1135,,,
2008,2012,CA,California,Death_certificate,,,,,5185,4319,439,,12878,912,3050,,56250,,,,,,943,,
2008,2012,CA,California,Statewide_central_cancer_registries,,,,14693,,,,17132,,,,156988,,1459,24242,3933,21784,7740,,,
2008,2012,CO,Colorado,Death_certificate,,,,,636,531,41,,1611,95,404,,7012,,,,,,161,,
2008,2012,CO,Colorado,Statewide_central_cancer_registries,,,,1724,,,,2243,,,,21117,,152,3375,524,3235,1113,,,
2008,2012,CT,Connecticut,Death_certificate,,,,,550,492,36,,1751,84,345,,6824,,,,,,106,,
2008,2012,CT,Connecticut,Statewide_central_cancer_registries,,,,1759,,,,2652,,,,20304,,120,3062,473,2730,902,,,
2008,2012,DC,District of Columbia,Death_certificate,,,,,103,97,9,,247,21,74,,1093,,,,,,7,,
2008,2012,DC,District of Columbia,Statewide_central_cancer_registries,,,,259,,,,348,,,,2881,,29,456,73,483,49,,,
2008,2012,DE,Delaware,Death_certificate,,,,,152,128,13,,569,29,92,,1895,,,,,,29,,
2008,2012,DE,Delaware,Statewide_central_cancer_registries,,,,413,,,,756,,,,5167,,43,705,125,792,293,,,
2008,2012,FL,Florida,Death_certificate,,,,,3663,2800,311,,11935,665,2086,,41416,,,,,,728,,
2008,2012,FL,Florida,Statewide_central_cancer_registries,,,,9715,,,,16413,,,,105922,,929,14382,3109,14094,4692,,,
2008,2012,GA,Georgia,Death_certificate,,,,,1399,1178,139,,4472,235,750,,15363,,,,,,217,,
2008,2012,GA,Georgia,Statewide_central_cancer_registries,,,,3916,,,,6264,,,,43274,,403,6404,1154,6560,2194,,,
2008,2012,HI,Hawaii,Death_certificate,,,,,218,126,14,,537,42,105,,2253,,,,,,24,,
2008,2012,HI,Hawaii,Statewide_central_cancer_registries,,,,730,,,,767,,,,6617,,53,1054,187,785,316,,,
2008,2012,IA,Iowa,Death_certificate,,,,,635,423,33,,1754,81,320,,6390,,,,,,106,,
2008,2012,IA,Iowa,Statewide_central_cancer_registries,,,,1723,,,,2393,,,,16935,,106,2278,430,2156,798,,,
