State,year,month,NO2_Mean,NO2_1st_Max_Value,NO2_1st_Max_Hour,NO2_AQI,O3_Mean,O3_1st_Max_Value,O3_1st_Max_Hour,O3_AQI,SO2_Mean,SO2_1st_Max_Value,SO2_1st_Max_Hour,SO2_AQI,CO_Mean,CO_1st_Max_Value,CO_1st_Max_Hour,CO_AQI
Alabama,2013,12,12.06563497,23.14193548,13.83870968,21.38709677,0.012098839,0.020387097,10.22580645,18.90322581,0.750311306,3.609677419,11.29032258,0,0.211006887,0.440322581,11.38709677,0
Alabama,2014,1,16.35284083,35.55,8.5,34.16666667,0.016563167,0.025333333,8.833333333,23.66666667,0.806186833,2.833333333,9.666666667,0,0.244596,0.483333333,13.25,0
Alabama,2014,2,10.17975091,23.46363636,15.18181818,21.63636364,0.018378818,0.030181818,9.727272727,27.90909091,1.594163682,4.922727273,12.40909091,0,0.243039591,0.504545455,12.86363636,0
Alabama,2014,3,10.78500996,24.44285714,13.46428571,22.57142857,0.021016143,0.032464286,9,30.03571429,0.779802375,3.8875,9.982142857,0,0.239608589,0.434464286,11.125,0
Alabama,2014,4,7.9614841,22.85666667,13.03333333,21.2,0.027137067,0.037566667,8.5,35.86666667,0.901501417,3.431666667,10.31666667,0,0.194652133,0.349833333,9.316666667,0
Alabama,2014,5,9.136327065,23.92258065,13.25806452,22.12903226,0.031749968,0.048645161,9.451612903,49.51612903,0.931904758,3.49516129,10.80645161,0,0.197533919,0.366935484,8.564516129,0
Alabama,2014,6,8.139697033,19.89,9.333333333,18.26666667,0.025169533,0.041066667,9.2,39.03333333,1.272200617,5.435,11.66666667,0,0.1747716,0.324666667,7.316666667,0
Alabama,2014,7,7.92169168,20.428,9.16,18.92,0.02781692,0.04312,9.12,39.92,0.91076058,4.07,9.22,0,0.1744234,0.3294,6.36,0
Alabama,2014,8,9.694611452,24.40645161,12.80645161,22.58064516,0.027163484,0.045903226,9.096774194,45.4516129,2.238450629,9.377419355,12.5,0,0.209669823,0.402903226,8.709677419,0
Alabama,2014,9,8.535685433,21.35,13.66666667,19.73333333,0.023856933,0.039966667,9.7,36.96666667,1.526991083,6.321666667,11.51666667,0,0.172883033,0.305166667,9.483333333,0
Alabama,2014,10,10.15900716,25.21290323,13.90322581,23.41935484,0.023271484,0.039064516,9.225806452,36.41935484,0.921895258,3.485483871,10.27419355,0,0.226544048,0.447903226,8.758064516,0
